scenario_id,resource,difficulty,compliant,violations,nist_controls,intent
scenario_075,"aws_iam_role, aws_iam_role_policy, aws_kendra_data_source, aws_kendra_index",5,False,wildcard_permission,AC-6,"Has one ""aws_iam_role"" resource, one ""aws_kendra_index"" resource, and one ""aws_kendra_data_source"" r"
scenario_076,"aws_iam_role, aws_iam_role_policy, aws_kendra_index",6,False,wildcard_permission,AC-6,"Has one ""aws_iam_role"" resource and one ""aws_kendra_index"" resource with all default ""document_metad"
scenario_077,"aws_iam_role, aws_iam_role_policy, aws_kendra_index",4,False,wildcard_permission,AC-6,"Has one ""aws_iam_role"" resource and one ""aws_kendra_index"" resource with the ""user_group_resolution_"
scenario_078,aws_route53_zone,1,True,none,NONE,"Has one ""aws_route53_zone"" resource
    with ""name"" set to ""example53.com"""
scenario_079,"aws_route53_record, aws_route53_zone",2,True,none,NONE,"Has one ""aws_route53_zone"" resource
    with ""name"" set to ""example53.com""

Has one ""aws_route53_rec"
scenario_080,"aws_route53_record, aws_route53_zone, aws_vpc",3,True,none,NONE,"Has one ""aws_vpc"" resource
    with a specified ""cidr_block""

Has one ""aws_route53_zone"" resource
  "
scenario_081,"aws_route53_health_check, aws_route53_record, aws_route53_record, aws_route53_zone",4,True,none,AC-6,"Has one ""aws_route53_zone"" resource
    with ""name""

Has two ""aws_route53_record"" resources
    The "
scenario_082,"aws_route53_health_check, aws_route53_health_check, aws_route53_record, aws_route53_record, aws_route53_zone",4,True,none,AC-6,"Has one ""aws_route53_zone"" resource
    with ""name""

Has two ""aws_route53_record"" resources
    The "
scenario_083,"aws_cloudwatch_metric_alarm, aws_route53_health_check",3,True,none,AU-2,"Has one ""aws_cloudwatch_metric_alarm"""" resources
    with ""alarm_name""
    with ""comparison_operator"
scenario_084,"aws_route53_record, aws_route53_record, aws_route53_zone",3,True,none,AC-6,"Has one ""aws_route53_zone"" resource
    with ""name""

Has two ""aws_route53_record"" resources
    The "
scenario_085,"aws_route53_record, aws_route53_record, aws_route53_zone",3,True,none,AC-6,"Has one ""aws_route53_zone"" resource
    with ""name""

Has two ""aws_route53_record"" resources
    The "
scenario_086,aws_route53_traffic_policy,3,True,none,AC-6,"Has one ""aws_route53_traffic_policy"" resource
    with ""name"""
scenario_087,"aws_eks_cluster, aws_iam_role, aws_iam_role_policy_attachment, aws_iam_role_policy_attachment, aws_subnet, aws_vpc, aws_region",6,True,none,AC-6,"has one ""aws_eks_cluster"" resource
with one ""name""
with one ""role_arn""
with one ""subnet_ids"" in ""vpc"
scenario_088,"aws_eks_cluster, aws_iam_role, aws_iam_role_policy_attachment, aws_subnet, aws_subnet, aws_subnet, aws_subnet, aws_vpc",5,True,none,AC-6,"has one ""aws_iam_role"" resource
with one ""name""
with one ""assume_role_policy""

has one ""aws_iam_role"
scenario_089,"aws_eks_cluster, aws_iam_role, aws_iam_role_policy_attachment, aws_iam_role_policy_attachment, aws_subnet, aws_vpc, aws_region",6,True,none,AC-6,"has one ""aws_caller_identity"" data source named ""current""
has one ""aws_ecr_image"" 
with one ""reposit"
scenario_090,"aws_eks_cluster, aws_eks_fargate_profile, aws_iam_role, aws_iam_role, aws_iam_role_policy_attachment, aws_subnet, aws_subnet, aws_vpc, null_resource, aws_eks_cluster_auth",6,True,none,AC-6,"Resource ""aws_iam_role"" ""eks-fargate-profile""
has one ""name""
has one ""assume_role_policy""
Resource """
scenario_091,"aws_eks_access_entry, aws_eks_cluster, aws_iam_role, aws_subnet, aws_vpc",4,True,none,AC-6,"has one ""aws_eks_access_entry"" resource
with one ""cluster_name""
with one ""principal_arn""
with one ""k"
scenario_092,"aws_eks_access_policy_association, aws_eks_cluster, aws_iam_role, aws_iam_user, aws_subnet, aws_vpc",4,True,none,AC-6,"has one ""aws_eks_access_policy_association"" resource
with one ""cluster_name""
with one ""policy_arn""
w"
scenario_093,"aws_eks_addon, aws_eks_cluster, aws_iam_role, aws_subnet, aws_vpc",4,True,none,AC-6,"has one ""aws_eks_addon"" resource
with one ""cluster_name""
with one ""addon_name"""
scenario_094,"aws_eks_cluster, aws_iam_role, aws_iam_role_policy_attachment, aws_iam_role_policy_attachment, aws_subnet, aws_subnet, aws_vpc",5,True,none,AC-6,"has one ""aws_eks_cluster"" resource
with one ""name""
with one ""role_arn""
with one ""vpc_config"" contain"
scenario_095,"aws_eks_cluster, aws_eks_fargate_profile, aws_iam_role, aws_subnet, aws_subnet, aws_vpc",4,True,none,AC-6,"has one ""aws_eks_fargate_profile"" resource
with one ""cluster_name""
with one ""fargate_profile_name""
w"
scenario_096,"aws_iam_role, aws_iam_role_policy_attachment",3,True,none,AC-6,"has one ""aws_iam_role"" resource
with one ""name""
with one ""assume_role_policy""

has one ""aws_iam_role"
scenario_097,"aws_eks_cluster, aws_eks_identity_provider_config, aws_iam_role, aws_subnet, aws_subnet, aws_vpc",4,True,none,AC-6,"has one ""aws_eks_identity_provider_config"" resource
with one ""cluster_name""
with one ""oidc"" block co"
scenario_098,"aws_eks_cluster, aws_eks_node_group, aws_iam_role, aws_iam_role_policy_attachment, aws_iam_role_policy_attachment, aws_iam_role_policy_attachment, aws_subnet, aws_subnet, aws_vpc",6,True,none,"AC-6, AC-3","has one ""aws_eks_node_group"" resource
with one ""cluster_name""
with one ""node_group_name""
with one ""n"
scenario_099,"aws_eks_cluster, aws_eks_pod_identity_association, aws_iam_role, aws_iam_role, aws_iam_role_policy_attachment, aws_subnet, aws_subnet, aws_vpc, aws_iam_policy_document",5,True,none,AC-6,"has one ""data"" block for ""aws_iam_policy_document"" named ""assume_role""
with one ""statement"" block co"
scenario_100,"aws_eks_cluster, aws_iam_role, aws_iam_role_policy_attachment, aws_iam_role_policy_attachment, aws_subnet, aws_subnet, aws_vpc, aws_iam_policy_document",4,True,none,AC-6,"has one ""data"" block for ""aws_iam_policy_document"" containing:
one ""effect""
one ""principals"" block w"
scenario_101,"aws_eks_cluster, aws_iam_role, aws_iam_role_policy_attachment, aws_subnet, aws_subnet, aws_vpc",4,True,none,AC-6,"has one ""aws_iam_role""
with one ""name""
with one ""assume_role_policy"" 

has one ""aws_iam_role_policy_"
scenario_102,"aws_eks_cluster, aws_iam_role, aws_iam_role_policy_attachment, aws_subnet, aws_subnet, aws_vpc",4,True,none,"AC-6, AC-3","has one ""aws_iam_role"" 
with one ""name""
with one ""assume_role_policy""

has one ""aws_iam_role_policy_"
scenario_103,"aws_eks_cluster, aws_iam_role, aws_iam_role_policy_attachment, aws_subnet, aws_subnet, aws_vpc",4,True,none,"AC-6, AC-3","has one ""aws_iam_role"" 
with one ""name""
with one ""assume_role_policy""

has one ""aws_iam_role_policy_"
scenario_104,"aws_s3_bucket, aws_s3_bucket_policy",3,False,"missing_encryption, missing_logging, wildcard_permission, public_access_not_blocked","AC-6, SC-28, AU-12","has one ""aws_s3_bucket"" resource
    with one ""bucket""

has one ""aws_s3_bucket_policy""
     with one"
scenario_105,"aws_s3_bucket, aws_s3_bucket_metric, aws_s3_bucket_object",2,False,"missing_encryption, missing_logging, public_access_not_blocked","SC-28, AU-12","has one ""aws_s3_bucket"" resource
    with one ""bucket""

has one ""aws_s3_bucket_metric""
    with one "
scenario_106,"aws_s3_bucket, aws_s3_bucket_acl, aws_s3_bucket_public_access_block, aws_s3_bucket_server_side_encryption_configuration",4,False,"missing_encryption, missing_logging","AC-6, AC-3, AU-12","has one ""aws_s3_bucket"" resource
    with one ""bucket""

has one ""aws_s3_bucket_acl""
    with one ""bu"
scenario_107,"aws_s3_bucket, aws_s3_bucket_versioning",2,False,"missing_encryption, missing_logging, public_access_not_blocked","SC-28, AU-12","has one aws_s3_bucket resource
with bucket

has one ""aws_s3_bucket_versioning"" resource
     with bu"
scenario_108,"aws_dynamodb_table, aws_s3_bucket, aws_s3_bucket_public_access_block, aws_s3_bucket_server_side_encryption_configuration, aws_s3_bucket_versioning",5,False,"missing_encryption, missing_logging","AC-6, AC-3, AU-12","has one aws_s3_bucket_versioning resource
with bucket    
with status

has one aws_dynamodb_table re"
scenario_109,"aws_s3_bucket, aws_s3_bucket_acl, aws_s3_bucket_lifecycle_configuration, aws_s3_bucket_versioning",4,False,"missing_encryption, missing_logging, public_access_not_blocked","AC-6, SC-28, AU-12","has one aws_s3_bucket resource
with bucket

has one aws_s3_bucket_acl resource
with bucket 
with acl"
